,time,open,high,low,close,tick_volume,spread,real_volume
721,2025-04-23 11:00:00,3319.45,3321.47,3305.51,3321.4,3612,5,0
722,2025-04-23 12:00:00,3321.52,3340.51,3317.28,3317.65,3960,5,0
723,2025-04-23 13:00:00,3317.6,3336.34,3316.86,3329.99,3589,6,0
724,2025-04-23 14:00:00,3329.73,3339.01,3322.2,3324.6,3706,5,0
725,2025-04-23 15:00:00,3324.74,3333.34,3310.65,3310.78,4868,7,0
726,2025-04-23 16:00:00,3310.59,3313.62,3271.16,3277.71,5515,5,0
727,2025-04-23 17:00:00,3277.5,3296.14,3259.98,3287.47,5686,7,0
728,2025-04-23 18:00:00,3287.38,3294.27,3269.22,3280.35,5261,5,0
729,2025-04-23 19:00:00,3280.96,3305.51,3279.14,3294.98,4811,10,0
730,2025-04-23 20:00:00,3295.05,3301.47,3277.76,3281.36,4689,5,0
731,2025-04-23 21:00:00,3281.32,3286.93,3277.85,3282.78,4098,17,0
732,2025-04-23 22:00:00,3282.77,3297.09,3282.66,3293.6,4202,14,0
733,2025-04-23 23:00:00,3294.36,3295.76,3284.12,3288.12,2622,18,0
734,2025-04-24 01:00:00,3289.07,3315.91,3288.83,3309.03,3912,0,0
735,2025-04-24 02:00:00,3309.03,3316.77,3308.26,3316.27,2877,9,0
736,2025-04-24 03:00:00,3316.32,3339.07,3313.29,3331.77,4793,12,0
737,2025-04-24 04:00:00,3331.52,3367.17,3330.85,3357.41,6018,7,0
738,2025-04-24 05:00:00,3357.5,3363.42,3335.73,3342.21,5037,5,0
739,2025-04-24 06:00:00,3342.17,3342.75,3320.74,3326.96,4297,13,0
740,2025-04-24 07:00:00,3326.98,3331.7,3325.92,3326.08,2965,5,0
741,2025-04-24 08:00:00,3326.18,3335.46,3320.47,3323.86,3828,8,0
742,2025-04-24 09:00:00,3323.9,3328.12,3314.81,3325.09,5194,5,0
743,2025-04-24 10:00:00,3324.63,3339.68,3323.14,3333.74,4893,7,0
744,2025-04-24 11:00:00,3333.71,3341.6,3327.4,3335.98,4402,5,0
745,2025-04-24 12:00:00,3336.17,3342.91,3325.47,3335.68,4243,6,0
746,2025-04-24 13:00:00,3335.64,3336.72,3325.74,3329.92,4075,17,0
747,2025-04-24 14:00:00,3329.54,3343.88,3329.54,3337.02,4239,14,0
748,2025-04-24 15:00:00,3337.25,3344.38,3335.55,3335.87,4902,5,0
749,2025-04-24 16:00:00,3335.99,3336.26,3312.62,3315.21,5911,5,0
750,2025-04-24 17:00:00,3315.14,3330.41,3306.97,3327.55,5886,5,0
751,2025-04-24 18:00:00,3327.5,3330.37,3319.55,3329.46,5181,5,0
752,2025-04-24 19:00:00,3329.42,3335.4,3322.5,3331.5,4791,5,0
753,2025-04-24 20:00:00,3331.52,3338.73,3330.04,3336.74,4450,5,0
754,2025-04-24 21:00:00,3336.77,3340.18,3333.67,3334.73,3792,5,0
755,2025-04-24 22:00:00,3334.89,3346.98,3333.45,3342.32,4059,5,0
756,2025-04-24 23:00:00,3342.66,3349.84,3338.09,3348.58,2348,18,0
757,2025-04-25 01:00:00,3351.34,3370.76,3341.45,3367.08,4035,5,0
758,2025-04-25 02:00:00,3366.97,3368.13,3347.17,3348.97,4084,12,0
759,2025-04-25 03:00:00,3348.88,3361.28,3347.38,3357.88,4739,13,0
760,2025-04-25 04:00:00,3357.62,3363.09,3343.02,3345.64,5107,8,0
761,2025-04-25 05:00:00,3345.76,3353.3,3344.59,3348.69,4437,8,0
762,2025-04-25 06:00:00,3348.65,3354.12,3322.64,3323.56,4528,10,0
763,2025-04-25 07:00:00,3323.68,3327.63,3316.46,3324.78,4773,13,0
